Turn,TurnID,TurnType,narrative_time,speaker,addressee,qType,speakerType,speakerGender
"I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment.",Q3-1,quote,0.0107790298873101,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
But consider!,Q4-0,quote,0.0112689857912787,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I said, earnestly.",S15-0,narration,0.0117589416952474,narrator,,,narrator,A
"Count the cost! Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness. You know, too, what a black reaction comes upon you. Surely the game is hardly worth the candle. Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed? Remember that I speak not only as one comrade to another, but as a medical man to one for whose constitution he is to some extent answerable.",Q4-1,quote,0.012248897599216,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
He did not seem offended.,S16-0,narration,0.0127388535031847,narrator,,,narrator,A
"On the contrary, he put his finger-tips together and leaned his elbows on the arms of his chair, like one who has a relish for conversation.",S17-0,narration,0.0132288094071533,narrator,,,narrator,A
"My mind,",Q5-0,quote,0.0137187653111219,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he said,",S18-0,narration,0.0142087212150906,narrator,,,narrator,A
"rebels at stagnation. Give me problems, give me work, give me the most abstruse cryptogram or the most intricate analysis, and I am in my own proper atmosphere. I can dispense then with artificial stimulants. But I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession, or rather created it, for I am the only one in the world.",Q5-1,quote,0.0146986771190592,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
The only unofficial detective?,Q6-0,quote,0.0151886330230279,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I said, raising my eyebrows.",S19-0,narration,0.0156785889269965,narrator,,,narrator,A
"The only unofficial consulting detective,",Q7-0,quote,0.0161685448309652,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
he answered.,S20-0,narration,0.0166585007349338,narrator,,,narrator,A
"I am the last and highest court of appeal in detection. When Gregson or Lestrade or Athelney Jones are out of their depths which, by the way, is their normal state the matter is laid before me. I examine the data, as an expert, and pronounce a specialist s opinion. I claim no credit in such cases. My name figures in no newspaper. The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward. But you have yourself had some experience of my methods of work in the Jefferson Hope case.",Q7-1,quote,0.0171484566389025,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"Yes, indeed,",Q8-0,quote,0.0176384125428711,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"said I, cordially.",S21-0,narration,0.0181283684468397,narrator,,,narrator,A
I was never so struck by anything in my life. I even embodied it in a small brochure with the somewhat fantastic title of A Study in Scarlet.,Q8-1,quote,0.0186183243508084,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
He shook his head sadly.,S22-0,narration,0.019108280254777,narrator,,,narrator,A
"I glanced over it,",Q9-0,quote,0.0195982361587457,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
said he.,S23-0,narration,0.0200881920627143,narrator,,,narrator,A
"Honestly, I cannot congratulate you upon it. Detection is, or ought to be, an exact science, and should be treated in the same cold and unemotional manner. You have attempted to tinge it with romanticism, which produces much the same effect as if you worked a love-story or an elopement into the fifth proposition of Euclid.",Q9-1,quote,0.020578147966683,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"But the romance was there,",Q10-0,quote,0.0210681038706516,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
I remonstrated.,S24-0,narration,0.0215580597746202,narrator,,,narrator,A
I could not tamper with the facts.,Q10-1,quote,0.0220480156785889,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"Some facts should be suppressed, or at least a just sense of proportion should be observed in treating them. The only point in the case which deserved mention was the curious analytical reasoning from effects to causes by which I succeeded in unraveling it.",Q11-0,quote,0.0225379715825575,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
I was annoyed at this criticism of a work which had been specially designed to please him.,S25-0,narration,0.0230279274865262,narrator,,,narrator,A
"I confess, too, that I was irritated by the egotism which seemed to demand that every line of my pamphlet should be devoted to his own special doings.",S26-0,narration,0.0235178833904948,narrator,,,narrator,A
More than once during the years that I had lived with him in Baker Street I had observed that a small vanity underlay my companion s quiet and didactic manner.,S27-0,narration,0.0240078392944635,narrator,,,narrator,A
"I made no remark, however, but sat nursing my wounded leg.",S28-0,narration,0.0244977951984321,narrator,,,narrator,A
"I had a Jezail bullet through it some time before, and, though it did not prevent me from walking, it ached wearily at every change of the weather.",S29-0,narration,0.0249877511024007,narrator,,,narrator,A
"My practice has extended recently to the Continent,",Q12-0,quote,0.0254777070063694,Mr. Sherlock Holmes,['Dr. Watson'],Explicit,major,M
"said Holmes, after a while, filling up his old brier-root pipe.",S30-0,narration,0.025967662910338,narrator,,,narrator,A
"I was consulted last week by Fran ois Le Villard, who, as you probably know, has come rather to the front lately in the French detective service. He has all the Celtic power of quick intuition, but he is deficient in the wide range of exact knowledge which is essential to the higher developments of his art. The case was concerned with a will, and possessed some features of interest. I was able to refer him to two parallel cases, the one at Riga in 1857, and the other at St. Louis in 1871, which have suggested to him the true solution. Here is the letter which I had this morning acknowledging my assistance.",Q12-1,quote,0.0264576188143067,Mr. Sherlock Holmes,['Dr. Watson'],Explicit,major,M
"He tossed over, as he spoke, a crumpled sheet of foreign notepaper.",S31-0,narration,0.0269475747182753,narrator,,,narrator,A
"I glanced my eyes down it, catching a profusion of notes of admiration, with stray ""magnifiques,"" ""coup-de-ma tres,"" and ""tours-de-force,"" all testifying to the ardent admiration of the Frenchman.",S32-0,narration,0.0274375306222439,narrator,,,narrator,A
"He speaks as a pupil to his master,",Q13-0,quote,0.0279274865262126,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
said I.,S33-0,narration,0.0284174424301812,narrator,,,narrator,A
"Oh, he rates my assistance too highly,",Q14-0,quote,0.0289073983341499,Mr. Sherlock Holmes,['Dr. Watson'],Explicit,major,M
"said Sherlock Holmes, lightly.",S34-0,narration,0.0293973542381185,narrator,,,narrator,A
He has considerable gifts himself. He possesses two out of the three qualities necessary for the ideal detective. He has the power of observation and that of deduction. He is only wanting in knowledge; and that may come in time. He is now translating my small works into French.,Q14-1,quote,0.0298873101420872,Mr. Sherlock Holmes,['Dr. Watson'],Explicit,major,M
Your works?,Q15-0,quote,0.0303772660460558,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"Oh, didn t you know?",Q16-0,quote,0.0308672219500244,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he cried, laughing.",S35-0,narration,0.0313571778539931,narrator,,,narrator,A
"Yes, I have been guilty of several monographs. They are all upon technical subjects. Here, for example, is one Upon the Distinction between the Ashes of the Various Tobaccoes. In it I enumerate a hundred and forty forms of cigar-, cigarette-, and pipe-tobacco, with coloured plates illustrating the difference in the ash. It is a point which is continually turning up in criminal trials, and which is sometimes of supreme importance as a clue. If you can say definitely, for example, that some murder has been done by a man who was smoking an Indian lunkah, it obviously narrows your field of search. To the trained eye there is as much difference between the black ash of a Trichinopoly and the white fluff of bird s-eye as there is between a cabbage and a potato.",Q16-1,quote,0.0318471337579617,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"You have an extraordinary genius for minuti ,",Q17-0,quote,0.0323370896619304,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
I remarked.,S36-0,narration,0.032827045565899,narrator,,,narrator,A
"I appreciate their importance. Here is my monograph upon the tracing of footsteps, with some remarks upon the uses of plaster of Paris as a preserver of impresses. Here, too, is a curious little work upon the influence of a trade upon the form of the hand, with lithotypes of the hands of slaters, sailors, corkcutters, compositors, weavers, and diamond-polishers. That is a matter of great practical interest to the scientific detective, especially in cases of unclaimed bodies, or in discovering the antecedents of criminals. But I weary you with my hobby.",Q18-0,quote,0.0333170014698677,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"Not at all,",Q19-0,quote,0.0338069573738363,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I answered, earnestly.",S37-0,narration,0.034296913277805,narrator,,,narrator,A
"It is of the greatest interest to me, especially since I have had the opportunity of observing your practical application of it. But you spoke just now of observation and deduction. Surely the one to some extent implies the other.",Q19-1,quote,0.0347868691817736,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"Why, hardly,",Q20-0,quote,0.0352768250857422,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he answered, leaning back luxuriously in his arm-chair, and sending up thick blue wreaths from his pipe.",S38-0,narration,0.0357667809897109,narrator,,,narrator,A
"For example, observation shows me that you have been to the Wigmore Street Post-Office this morning, but deduction lets me know that when there you dispatched a telegram.",Q20-1,quote,0.0362567368936795,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
Right!,Q21-0,quote,0.0367466927976482,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
said I.,S39-0,narration,0.0372366487016168,narrator,,,narrator,A
"Right on both points! But I confess that I don t see how you arrived at it. It was a sudden impulse upon my part, and I have mentioned it to no one.",Q21-1,quote,0.0377266046055854,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"It is simplicity itself,",Q22-0,quote,0.0382165605095541,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he remarked, chuckling at my surprise,",S40-0,narration,0.0387065164135227,narrator,,,narrator,A
"so absurdly simple that an explanation is superfluous; and yet it may serve to define the limits of observation and of deduction. Observation tells me that you have a little reddish mould adhering to your instep. Just opposite the Seymour Street Office they have taken up the pavement and thrown up some earth which lies in such a way that it is difficult to avoid treading in it in entering. The earth is of this peculiar reddish tint which is found, as far as I know, nowhere else in the neighbourhood. So much is observation. The rest is deduction.",Q22-1,quote,0.0391964723174914,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"How, then, did you deduce the telegram?",Q23-0,quote,0.03968642822146,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"Why, of course I knew that you had not written a letter, since I sat opposite to you all morning. I see also in your open desk there that you have a sheet of stamps and a thick bundle of post-cards. What could you go into the post-office for, then, but to send a wire? Eliminate all other factors, and the one which remains must be the truth.",Q24-0,quote,0.0401763841254287,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"In this case it certainly is so,",Q25-0,quote,0.0406663400293973,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"I replied, after a little thought.",S41-0,narration,0.041156295933366,narrator,,,narrator,A
"The thing, however, is, as you say, of the simplest. Would you think me impertinent if I were to put your theories to a more severe test?",Q25-1,quote,0.0416462518373346,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"On the contrary,",Q26-0,quote,0.0421362077413032,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he answered,",S42-0,narration,0.0426261636452719,narrator,,,narrator,A
it would prevent me from taking a second dose of cocaine. I should be delighted to look into any problem which you might submit to me.,Q26-1,quote,0.0431161195492405,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"I have heard you say that it is difficult for a man to have any object in daily use without leaving the impress of his individuality upon it in such a way that a trained observer might read it. Now, I have here a watch which has recently come into my possession. Would you have the kindness to let me have an opinion upon the character or habits of the late owner?",Q27-0,quote,0.0436060754532092,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"I handed him over the watch with some slight feeling of amusement in my heart, for the test was, as I thought, an impossible one, and I intended it as a lesson against the somewhat dogmatic tone which he occasionally assumed.",S43-0,narration,0.0440960313571778,narrator,,,narrator,A
"He balanced the watch in his hand, gazed hard at the dial, opened the back, and examined the works, first with his naked eyes and then with a powerful convex lens.",S44-0,narration,0.0445859872611464,narrator,,,narrator,A
I could hardly keep from smiling at his crestfallen face when he finally snapped the case to and handed it back.,S45-0,narration,0.0450759431651151,narrator,,,narrator,A
"There are hardly any data,",Q28-0,quote,0.0455658990690837,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
he remarked.,S46-0,narration,0.0460558549730524,narrator,,,narrator,A
"The watch has been recently cleaned, which robs me of my most suggestive facts.",Q28-1,quote,0.046545810877021,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"You are right,",Q29-0,quote,0.0470357667809897,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
I answered.,S47-0,narration,0.0475257226849583,narrator,,,narrator,A
It was cleaned before being sent to me.,Q29-1,quote,0.048015678588927,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
In my heart I accused my companion of putting forward a most lame and impotent excuse to cover his failure.,S48-0,narration,0.0485056344928956,narrator,,,narrator,A
What data could he expect from an uncleaned watch?,S49-0,narration,0.0489955903968642,narrator,,,narrator,A
"Though unsatisfactory, my research has not been entirely barren,",Q30-0,quote,0.0494855463008329,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"he observed, staring up at the ceiling with dreamy, lack-lustre eyes.",S50-0,narration,0.0499755022048015,narrator,,,narrator,A
"Subject to your correction, I should judge that the watch belonged to your elder brother, who inherited it from your father.",Q30-1,quote,0.0504654581087702,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"That you gather, no doubt, from the H. W. upon the back?",Q31-0,quote,0.0509554140127388,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"Quite so. The W. suggests your own name. The date of the watch is nearly fifty years back, and the initials are as old as the watch: so it was made for the last generation. Jewelry usually descends to the eldest son, and he is most likely to have the same name as the father. Your father has, if I remember right, been dead many years. It has, therefore, been in the hands of your eldest brother.",Q32-0,quote,0.0514453699167075,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"Right, so far,",Q33-0,quote,0.0519353258206761,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
said I.,S51-0,narration,0.0524252817246447,narrator,,,narrator,A
Anything else?,Q33-1,quote,0.0529152376286134,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"He was a man of untidy habits, very untidy and careless. He was left with good prospects, but he threw away his chances, lived for some time in poverty with occasional short intervals of prosperity, and finally, taking to drink, he died. That is all I can gather.",Q34-0,quote,0.053405193532582,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
I sprang from my chair and limped impatiently about the room with considerable bitterness in my heart.,S52-0,narration,0.0538951494365507,narrator,,,narrator,A
"This is unworthy of you, Holmes,",Q35-0,quote,0.0543851053405193,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
I said.,S53-0,narration,0.0548750612444879,narrator,,,narrator,A
"I could not have believed that you would have descended to this. You have made inquires into the history of my unhappy brother, and you now pretend to deduce this knowledge in some fanciful way. You cannot expect me to believe that you have read all this from his old watch! It is unkind, and, to speak plainly, has a touch of charlatanism in it.",Q35-1,quote,0.0553650171484566,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"My dear doctor,",Q36-0,quote,0.0558549730524252,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
"said he, kindly,",S54-0,narration,0.0563449289563939,narrator,,,narrator,A
"pray accept my apologies. Viewing the matter as an abstract problem, I had forgotten how personal and painful a thing it might be to you. I assure you, however, that I never even knew that you had a brother until you handed me the watch.",Q36-1,quote,0.0568348848603625,Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,major,M
Then how in the name of all that is wonderful did you get these facts? They are absolutely correct in every particular.,Q37-0,quote,0.0573248407643312,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"Ah, that is good luck. I could only say what was the balance of probability. I did not at all expect to be so accurate.",Q38-0,quote,0.0578147966682998,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
But it was not mere guess-work?,Q39-0,quote,0.0583047525722685,Dr. Watson,['Mr. Sherlock Holmes'],Implicit,major,A
"No, no: I never guess. It is a shocking habit, destructive to the logical faculty. What seems strange to you is only so because you do not follow my train of thought or observe the small facts upon which large inferences may depend. For example, I began by stating that your brother was careless. When you observe the lower part of that watch-case you notice that it is not only dinted in two places, but it is cut and marked all over from the habit of keeping other hard objects, such as coins or keys, in the same pocket. Surely it is no great feat to assume that a man who treats a fifty-guinea watch so cavalierly must be a careless man. Neither is it a very far-fetched inference that a man who inherits one article of such value is pretty well provided for in other respects.",Q40-0,quote,0.0587947084762371,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"I nodded, to show that I followed his reasoning.",S55-0,narration,0.0592846643802057,narrator,,,narrator,A
"It is very customary for pawnbrokers in England, when they take a watch, to scratch the number of the ticket with a pin-point upon the inside of the case. It is more handy than a label, as there is no risk of the number being lost or transposed. There are no less than four such numbers visible to my lens on the inside of this case. Inference, that your brother was often at low water. Secondary inference, that he had occasional bursts of prosperity, or he could not have redeemed the pledge. Finally, I ask you to look at the inner plate, which contains the key-hole. Look at the thousands of scratches all round the hole, marks where the key has slipped. What sober man s key could have scored those grooves? But you will never see a drunkard s watch without them. He winds it at night, and he leaves these traces of his unsteady hand. Where is the mystery in all this?",Q41-0,quote,0.0597746202841744,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"It is as clear as daylight,",Q42-0,quote,0.060264576188143,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
I answered.,S56-0,narration,0.0607545320921117,narrator,,,narrator,A
I regret the injustice which I did you. I should have had more faith in your marvellous faculty. May I ask whether you have any professional inquiry on foot at present?,Q42-1,quote,0.0612444879960803,Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,major,A
"None. Hence the cocaine. I cannot live without brain-work. What else is there to live for? Stand at the window here. Was ever such a dreary, dismal, unprofitable world? See how the yellow fog swirls down the street and drifts across the dun-coloured houses. What could be more hopelessly prosaic and material? What is the use of having powers, doctor, when one has no field upon which to exert them? Crime is commonplace, existence is commonplace, and no qualities save those which are commonplace have any function upon earth.",Q43-0,quote,0.0617344439000489,Mr. Sherlock Holmes,['Dr. Watson'],Implicit,major,M
"I had opened my mouth to reply to this tirade, when with a crisp knock our landlady entered, bearing a card upon the brass salver.",S57-0,narration,0.0622243998040176,narrator,,,narrator,A
"A young lady for you, sir,",Q44-0,quote,0.0627143557079862,Mrs. Hudson,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,too-minor,F
"she said, addressing my companion.",S58-0,narration,0.0632043116119549,narrator,,,narrator,A
"Miss Mary Morstan,",Q45-0,quote,0.0636942675159235,Mr. Sherlock Holmes,"['Dr. Watson', 'Mrs. Hudson']",Anaphoric,major,M
he read.,S59-0,narration,0.0641842234198922,narrator,,,narrator,A
"Hum! I have no recollection of the name. Ask the young lady to step up, Mrs. Hudson. Don t go, doctor. I should prefer that you remain.",Q45-1,quote,0.0646741793238608,Mr. Sherlock Holmes,"['Dr. Watson', 'Mrs. Hudson']",Anaphoric,major,M
Chapter II The Statement of the Case Miss Morstan entered the room with a firm step and an outward composure of manner.,S60-0,narration,0.0651641352278294,narrator,,,narrator,A
"She was a blonde young lady, small, dainty, well gloved, and dressed in the most perfect taste.",S61-0,narration,0.0656540911317981,narrator,,,narrator,A
"There was, however, a plainness and simplicity about her costume which bore with it a suggestion of limited means.",S62-0,narration,0.0661440470357667,narrator,,,narrator,A
"The dress was a sombre greyish beige, untrimmed and unbraided, and she wore a small turban of the same dull hue, relieved only by a suspicion of white feather in the side.",S63-0,narration,0.0666340029397354,narrator,,,narrator,A
"Her face had neither regularity of feature nor beauty of complexion, but her expression was sweet and amiable, and her large blue eyes were singularly spiritual and sympathetic.",S64-0,narration,0.067123958843704,narrator,,,narrator,A
"In an experience of women which extends over many nations and three separate continents, I have never looked upon a face which gave a clearer promise of a refined and sensitive nature.",S65-0,narration,0.0676139147476727,narrator,,,narrator,A
"I could not but observe that as she took the seat which Sherlock Holmes placed for her, her lip trembled, her hand quivered, and she showed every sign of intense inward agitation.",S66-0,narration,0.0681038706516413,narrator,,,narrator,A
"I have come to you, Mr. Holmes,",Q46-0,quote,0.06859382655561,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"she said,",S67-0,narration,0.0690837824595786,narrator,,,narrator,A
"because you once enabled my employer, Mrs. Cecil Forrester, to unravel a little domestic complication. She was much impressed by your kindness and skill.",Q46-1,quote,0.0695737383635472,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"Mrs. Cecil Forrester,",Q47-0,quote,0.0700636942675159,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Anaphoric,major,M
he repeated thoughtfully.,S68-0,narration,0.0705536501714845,narrator,,,narrator,A
"I believe that I was of some slight service to her. The case, however, as I remember it, was a very simple one.",Q47-1,quote,0.0710436060754532,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Anaphoric,major,M
"She did not think so. But at least you cannot say the same of mine. I can hardly imagine anything more strange, more utterly inexplicable, than the situation in which I find myself.",Q48-0,quote,0.0715335619794218,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Implicit,minor,F
"Holmes rubbed his hands, and his eyes glistened.",S69-0,narration,0.0720235178833905,narrator,,,narrator,A
"He leaned forward in his chair with an expression of extraordinary concentration upon his clear-cut, hawklike features.",S70-0,narration,0.0725134737873591,narrator,,,narrator,A
"State your case,",Q49-0,quote,0.0730034296913277,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Anaphoric,major,M
"said he, in brisk, business tones.",S71-0,narration,0.0734933855952964,narrator,,,narrator,A
I felt that my position was an embarrassing one.,S72-0,narration,0.073983341499265,narrator,,,narrator,A
"You will, I am sure, excuse me,",Q50-0,quote,0.0744732974032337,Dr. Watson,"['Mr. Sherlock Holmes', 'Miss Morstan']",Anaphoric,major,A
"I said, rising from my chair.",S73-0,narration,0.0749632533072023,narrator,,,narrator,A
"To my surprise, the young lady held up her gloved hand to detain me.",S74-0,narration,0.0754532092111709,narrator,,,narrator,A
"If your friend,",Q51-0,quote,0.0759431651151396,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"she said,",S75-0,narration,0.0764331210191082,narrator,,,narrator,A
"would be good enough to stop, he might be of inestimable service to me.",Q51-1,quote,0.0769230769230769,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
I relapsed into my chair.,S76-0,narration,0.0774130328270455,narrator,,,narrator,A
"Briefly,",Q52-0,quote,0.0779029887310142,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"she continued,",S77-0,narration,0.0783929446349828,narrator,,,narrator,A
"the facts are these. My father was an officer in an Indian regiment who sent me home when I was quite a child. My mother was dead, and I had no relative in England. I was placed, however, in a comfortable boarding establishment at Edinburgh, and there I remained until I was seventeen years of age. In the year 1878 my father, who was senior captain of his regiment, obtained twelve months leave and came home. He telegraphed to me from London that he had arrived all safe, and directed me to come down at once, giving the Langham Hotel as his address. His message, as I remember, was full of kindness and love. On reaching London I drove to the Langham, and was informed that Captain Morstan was staying there, but that he had gone out the night before and had not yet returned. I waited all day without news of him. That night, on the advice of the manager of the hotel, I communicated with the police, and next morning we advertised in all the papers. Our inquiries led to no result; and from that day to this no word has ever been heard of my unfortunate father. He came home with his heart full of hope, to find some peace, some comfort, and instead",Q52-1,quote,0.0788829005389515,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"She put her hand to her throat, and a choking sob cut short the sentence.",S78-0,narration,0.0793728564429201,narrator,,,narrator,A
The date?,Q53-0,quote,0.0798628123468887,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Explicit,major,M
"asked Holmes, opening his note-book.",S79-0,narration,0.0803527682508574,narrator,,,narrator,A
"He disappeared upon the 3rd of December, 1878, nearly ten years ago.",Q54-0,quote,0.080842724154826,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Implicit,minor,F
His luggage?,Q55-0,quote,0.0813326800587947,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Implicit,major,M
"Remained at the hotel. There was nothing in it to suggest a clue, some clothes, some books, and a considerable number of curiosities from the Andaman Islands. He had been one of the officers in charge of the convict-guard there.",Q56-0,quote,0.0818226359627633,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Implicit,minor,F
Had he any friends in town?,Q57-0,quote,0.082312591866732,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Implicit,major,M
