sentence,polarity,subjectivity
It has therefore been in the hands of your eldest brother ” “ Right so far ” said I,0.19285714285714284,0.7678571428571428
“ Anything else ” “ He was a man of untidy habits —very untidy and careless,-0.5,0.9
He was left with good prospects but he threw away his chances lived for some time in poverty with occasional short intervals of prosperity and finally taking to drink he died,0.13999999999999999,0.4050000000000001
That is all I can gather ” I sprang from my chair and limped impatiently about the room with considerable bitterness in my heart,-0.05,0.675
“ This is unworthy of you Holmes ” I said,0.0,0.0
“ I could not have believed that you would have descended to this,0.0,0.0
You have made inquires into the history of my unhappy brother and you now pretend to deduce this knowledge in some fanciful way,-0.6,0.9
You can not expect me to believe that you have read all this from his old watch,0.125,0.2
It is unkind and to speak plainly has a touch of charlatanism in it ” “ My dear doctor ” said he kindly “ pray accept my apologies,0.19285714285714284,0.6285714285714286
Viewing the matter as an abstract problem I had forgotten how personal and painful a thing it might be to you,-0.35,0.6
I assure you however that I never even knew that you had a brother until you handed me the watch ” “ Then how in the name of all that is wonderful did you get these facts,1.0,1.0
They are absolutely correct in every particular ” “ Ah that is good luck,0.35555555555555557,0.6111111111111112
I could only say what was the balance of probability,0.0,1.0
I did not at all expect to be so accurate ” “ But it was not mere guess-work ” “ No no I never guess,0.32500000000000007,0.5666666666666667
It is a shocking habit —destructive to the logical faculty,-0.375,0.625
What seems strange to you is only so because you do not follow my train of thought or observe the small facts upon which large inferences may depend,-0.02142857142857143,0.4946428571428571
For example I began by stating that your brother was careless,-0.5,0.9
When you observe the lower part of that watch-case you notice that it is not only dinted in two places but it is cut and marked all over from the habit of keeping other hard objects such as coins or keys in the same pocket,-0.05277777777777778,0.5236111111111111
Surely it is no great feat to assume that a man who treats a fifty-guinea watch so cavalierly must be a careless man,-0.45,0.825
Neither is it a very far-fetched inference that a man who inherits one article of such value is pretty well provided for in other respects ” I nodded to show that I followed his reasoning,0.08125,0.54375
“ It is very customary for pawnbrokers in England when they take a watch to scratch the number of the ticket with a pin-point upon the inside of the case,0.2,0.3
It is more handy than a label as there is no risk of the number being lost or transposed,0.55,0.7
There are no less than four such numbers visible to my lens on the inside of this case,0.041666666666666664,0.2833333333333333
Inference —that your brother was often at low water,0.0,0.3
Secondary inference —that he had occasional bursts of prosperity or he could not have redeemed the pledge,-0.15,0.2125
Finally I ask you to look at the inner plate which contains the key-hole,0.0,0.5833333333333334
Look at the thousands of scratches all round the hole —marks where the key has slipped,-0.1,0.7
What sober man ’ s key could have scored those grooves,0.05,0.6
But you will never see a drunkard ’ s watch without them,0.0,0.0
He winds it at night and he leaves these traces of his unsteady hand,0.0,0.0
Where is the mystery in all this ” “ It is as clear as daylight ” I answered,0.10000000000000002,0.3833333333333333
“ I regret the injustice which I did you,0.0,0.0
I should have had more faith in your marvellous faculty,0.5,0.5
May I ask whether you have any professional inquiry on foot at present ” “ None,0.05,0.05
Hence the cocaine,0.0,0.0
I can not live without brain-work,0.13636363636363635,0.5
What else is there to live for,0.13636363636363635,0.5
Stand at the window here,0.0,0.0
Was ever such a dreary dismal unprofitable world,0.0,0.5
See how the yellow fog swirls down the street and drifts across the dun-coloured houses,-0.07777777777777779,0.14444444444444446
What could be more hopelessly prosaic and material,0.5,0.5
What is the use of having powers doctor when one has no field upon which to exert them,0.0,0.0
Crime is commonplace existence is commonplace and no qualities save those which are commonplace have any function upon earth ” I had opened my mouth to reply to this tirade when with a crisp knock our landlady entered bearing a card upon the brass salver,0.25,0.4166666666666667
“ A young lady for you sir ” she said addressing my companion,0.1,0.4
“ Miss Mary Morstan ” he read,0.0,0.0
“ Hum,0.0,0.0
I have no recollection of the name,0.0,0.0
Ask the young lady to step up Mrs Hudson,0.1,0.4
Don ’ t go doctor,0.0,0.0
I should prefer that you remain ” Chapter II The Statement of the Case Miss Morstan entered the room with a firm step and an outward composure of manner,-0.2,0.4
She was a blonde young lady small dainty well gloved and dressed in the most perfect taste,0.375,0.5499999999999999
There was however a plainness and simplicity about her costume which bore with it a suggestion of limited means,-0.07142857142857142,0.14285714285714285
The dress was a sombre greyish beige untrimmed and unbraided and she wore a small turban of the same dull hue relieved only by a suspicion of white feather in the side,-0.10833333333333335,0.40499999999999997
Her face had neither regularity of feature nor beauty of complexion but her expression was sweet and amiable and her large blue eyes were singularly spiritual and sympathetic,0.21285714285714286,0.46238095238095234
In an experience of women which extends over many nations and three separate continents I have never looked upon a face which gave a clearer promise of a refined and sensitive nature,0.3,0.7
I could not but observe that as she took the seat which Sherlock Holmes placed for her her lip trembled her hand quivered and she showed every sign of intense inward agitation,0.2,1.0
“ I have come to you Mr Holmes ” she said “ because you once enabled my employer Mrs Cecil Forrester to unravel a little domestic complication,-0.09375,0.3
She was much impressed by your kindness and skill ” “ Mrs,1.0,1.0
Cecil Forrester ” he repeated thoughtfully,0.4,0.5
“ I believe that I was of some slight service to her,-0.16666666666666666,0.16666666666666666
The case however as I remember it was a very simple one ” “ She did not think so,0.0,0.4642857142857143
But at least you can not say the same of mine,-0.15,0.2625
I can hardly imagine anything more strange more utterly inexplicable than the situation in which I find myself ” Holmes rubbed his hands and his eyes glistened,0.011666666666666669,0.5183333333333333
He leaned forward in his chair with an expression of extraordinary concentration upon his clear-cut hawklike features,0.3333333333333333,1.0
“ State your case ” said he in brisk business tones,0.0,0.0
I felt that my position was an embarrassing one,0.0,0.0
“ You will I am sure excuse me ” I said rising from my chair,0.225,0.46944444444444444
To my surprise the young lady held up her gloved hand to detain me,0.1,0.4
“ If your friend ” she said “ would be good enough to stop he might be of inestimable service to me ” I relapsed into my chair,0.35,0.55
“ Briefly ” she continued “ the facts are these,0.0,0.3333333333333333
My father was an officer in an Indian regiment who sent me home when I was quite a child,0.0,0.0
My mother was dead and I had no relative in England,-0.1,0.2
I was placed however in a comfortable boarding establishment at Edinburgh and there I remained until I was seventeen years of age,0.4,0.8
In the year 1878 my father who was senior captain of his regiment obtained twelve months ’ leave and came home,0.0,0.0
He telegraphed to me from London that he had arrived all safe and directed me to come down at once giving the Langham Hotel as his address,0.17222222222222222,0.3944444444444445
His message as I remember was full of kindness and love,0.425,0.575
On reaching London I drove to the Langham and was informed that Captain Morstan was staying there but that he had gone out the night before and had not yet returned,0.0,0.0
I waited all day without news of him,0.0,0.0
That night on the advice of the manager of the hotel I communicated with the police and next morning we advertised in all the papers,0.0,0.0
Our inquiries led to no result and from that day to this no word has ever been heard of my unfortunate father,-0.5,1.0
He came home with his heart full of hope to find some peace some comfort and instead— ” She put her hand to her throat and a choking sob cut short the sentence,0.175,0.42500000000000004
“ The date ” asked Holmes opening his note-book,0.0,0.0
“ He disappeared upon the 3rd of December 1878 —nearly ten years ago ” “ His luggage ” “ Remained at the hotel,0.0,0.0
There was nothing in it to suggest a clue —some clothes some books and a considerable number of curiosities from the Andaman Islands,0.1,0.45
He had been one of the officers in charge of the convict-guard there ” “ Had he any friends in town ” “ Only one that we know of —Major Sholto of his own regiment the 34th Bombay Infantry,0.3,1.0
The major had retired some little time before and lived at Upper Norwood,-0.041666666666666664,0.3333333333333333
We communicated with him of course but he did not even know that his brother officer was in England ” “ A singular case ” remarked Holmes,0.0,0.0
“ I have not yet described to you the most singular part,0.5,0.5
About six years ago—to be exact upon the 4th of May 1882—an advertisement appeared in the Times asking for the address of Miss Mary Morstan and stating that it would be to her advantage to come forward,0.25,0.25
There was no name or address appended,0.0,0.0
I had at that time just entered the family of Mrs Cecil Forrester in the capacity of governess,0.0,0.0
By her advice I published my address in the advertisement column,0.0,0.0
The same day there arrived through the post a small card-board box addressed to me which I found to contain a very large and lustrous pearl,0.009523809523809526,0.36071428571428577
No word of writing was enclosed,0.0,0.0
Since then every year upon the same date there has always appeared a similar box containing a similar pearl without any clue as to the sender,0.0,0.30833333333333335
They have been pronounced by an expert to be of a rare variety and of considerable value,0.2,0.675
You can see for yourselves that they are very handsome ” She opened a flat box as she spoke and showed me six of the finest pearls that I had ever seen,0.3125,0.5625
“ Your statement is most interesting ” said Sherlock Holmes,0.5,0.5
“ Has anything else occurred to you ” “ Yes and no later than to-day,0.0,0.0
That is why I have come to you,0.0,0.0
This morning I received this letter which you will perhaps read for yourself ” “ Thank you ” said Holmes,0.0,0.0
“ The envelope too please,0.0,0.0
Postmark London S.W,0.0,0.0
Date July 7,0.0,0.0
Hum,0.0,0.0
Man ’ s thumb-mark on corner —probably postman,0.0,0.0
Best quality paper,1.0,0.3
Envelopes at sixpence a packet,0.0,0.0
Particular man in his stationery,0.16666666666666666,0.3333333333333333
No address,0.0,0.0
‘ Be at the third pillar from the left outside the Lyceum Theatre to-night at seven o ’ clock,0.0,0.016666666666666666
If you are distrustful bring two friends,0.0,0.0
You are a wronged woman and shall have justice,0.0,0.0
Do not bring police,0.0,0.0
If you do all will be in vain,0.0,0.0
Your unknown friend ’ Well really this is a very pretty little mystery,0.05937500000000001,0.575
What do you intend to do Miss Morstan ” “ That is exactly what I want to ask you ” “ Then we shall most certainly go,0.32142857142857145,0.44047619047619047
You and I and—yes why Dr Watson is the very man,0.2,0.3
Your correspondent says two friends,0.0,0.0
He and I have worked together before ” “ But would he come ” she asked with something appealing in her voice and expression,0.5,0.5
“ I should be proud and happy ” said I fervently “ if I can be of any service ” “ You are both very kind ” she answered,0.7933333333333333,1.0
“ I have led a retired life and have no friends whom I could appeal to,0.0,0.0
If I am here at six it will do I suppose ” “ You must not be later ” said Holmes,0.0,0.0
“ There is one other point however,-0.125,0.375
Is this handwriting the same as that upon the pearl-box addresses ” “ I have them here ” she answered producing half a dozen pieces of paper,-0.08333333333333333,0.14583333333333331
“ You are certainly a model client,0.21428571428571427,0.5714285714285714
You have the correct intuition,0.0,0.0
Let us see now ” He spread out the papers upon the table and gave little darting glances from one to the other,-0.15625,0.4375
“ They are disguised hands except the letter ” he said presently “ but there can be no question as to the authorship,0.0,0.0
See how the irrepressible Greek e will break out and see the twirl of the final s,0.0,0.5
They are undoubtedly by the same person,0.0,0.125
I should not like to suggest false hopes Miss Morstan but is there any resemblance between this hand and that of your father ” “ Nothing could be more unlike ” “ I expected to hear you say so,-2.7755575615628914e-17,0.5
We shall look out for you then at six,0.0,0.0
Pray allow me to keep the papers,0.0,0.0
I may look into the matter before then,0.0,0.0
It is only half-past three,0.0,1.0
Au revoir then ” “ Au revoir ” said our visitor and with a bright kindly glance from one to the other of us she replaced her pearl-box in her bosom and hurried away,0.39166666666666666,0.6916666666666668
Standing at the window I watched her walking briskly down the street until the grey turban and white feather were but a speck in the sombre crowd,-0.06851851851851853,0.12962962962962965
“ What a very attractive woman ” I exclaimed turning to my companion,1.0,1.0
He had lit his pipe again and was leaning back with drooping eyelids,0.0,0.0
“ Is she ” he said languidly,0.0,0.0
“ I did not observe ” “ You really are an automaton —a calculating-machine ” I cried,0.25,0.2
“ There is something positively inhuman in you at times ” He smiled gently,0.34242424242424246,0.5151515151515151
“ It is of the first importance ” he said “ not to allow your judgment to be biased by personal qualities,0.125,0.31666666666666665
A client is to me a mere unit —a factor in a problem,-0.5,0.5
The emotional qualities are antagonistic to clear reasoning,0.05000000000000001,0.5166666666666666
I assure you that the most winning woman I ever knew was hanged for poisoning three little children for their insurance-money and the most repellant man of my acquaintance is a philanthropist who has spent nearly a quarter of a million upon the London poor ” “ In this case however— ” “ I never make exceptions,0.13035714285714287,0.4785714285714286
An exception disproves the rule,0.0,0.0
Have you ever had occasion to study character in handwriting,0.0,0.0
What do you make of this fellow ’ s scribble ” “ It is legible and regular ” I answered,0.1,0.3384615384615385
“ A man of business habits and some force of character ” Holmes shook his head,0.0,0.0
“ Look at his long letters ” he said,-0.05,0.4
“ They hardly rise above the common herd,-0.19722222222222222,0.38055555555555554
That d might be an a and that l an e,0.0,0.0
Men of character always differentiate their long letters however illegibly they may write,-0.05,0.4
There is vacillation in his k ’ s and self-esteem in his capitals,0.0,0.0
I am going out now,0.0,0.0
I have some few references to make,-0.2,0.1
Let me recommend this book —one of the most remarkable ever penned,0.625,0.625
It is Winwood Reade ’ s ‘ Martyrdom of Man ’ I shall be back in an hour ” I sat in the window with the volume in my hand but my thoughts were far from the daring speculations of the writer,0.05,0.5
My mind ran upon our late visitor —her smiles the deep rich tones of her voice the strange mystery which overhung her life,0.006250000000000002,0.475
If she were seventeen at the time of her father ’ s disappearance she must be seven-and-twenty now —a sweet age when youth has lost its self-consciousness and become a little sobered by experience,0.08124999999999999,0.575
So I sat and mused until such dangerous thoughts came into my head that I hurried away to my desk and plunged furiously into the latest treatise upon pathology,-0.033333333333333326,0.7666666666666666
What was I an army surgeon with a weak leg and a weaker banking-account that I should dare to think of such things,-0.1875,0.5625
She was a unit a factor —nothing more,0.5,0.5
If my future were black it was better surely to face it like a man than to attempt to brighten it by mere will-o ’ the-wisps of the imagination,0.06666666666666668,0.4894444444444444
Chapter III In Quest of a Solution It was half-past five before Holmes returned,0.0,0.0
He was bright eager and in excellent spirits —a mood which in his case alternated with fits of the blackest depression,0.8500000000000001,0.8999999999999999
“ There is no great mystery in this matter ” he said taking the cup of tea which I had poured out for him,-0.4,0.75
“ The facts appear to admit of only one explanation ” “ What,0.0,1.0
you have solved it already ” “ Well that would be too much to say,0.2,0.2
I have discovered a suggestive fact that is all,0.0,0.0
It is however very suggestive,0.2,0.3
The details are still to be added,0.0,0.0
I have just found on consulting the back files of the Times that Major Sholto of Upper Norword late of the 34th Bombay Infantry died upon the 28th of April 1882 ” “ I may be very obtuse Holmes but I fail to see what this suggests ” “ No,-0.08958333333333333,0.2833333333333334
You surprise me,0.0,0.0
Look at it in this way then,0.0,0.0
Captain Morstan disappears,0.0,0.0
The only person in London whom he could have visited is Major Sholto,0.03125,0.75
Major Sholto denies having heard that he was in London,0.0625,0.5
Four years later Sholto dies,0.0,0.0
Within a week of his death Captain Morstan ’ s daughter receives a valuable present which is repeated from year to year and now culminates in a letter which describes her as a wronged woman,0.0,0.0
What wrong can it refer to except this deprivation of her father,-0.5,0.9
And why should the presents begin immediately after Sholto ’ s death unless it is that Sholto ’ s heir knows something of the mystery and desires to make compensation,0.0,0.0
Have you any alternative theory which will meet the facts ” “ But what a strange compensation,-0.0625,0.15
And how strangely made,-0.0625,0.15
Why too should he write a letter now rather than six years ago,0.0,0.0
Again the letter speaks of giving her justice,0.0,0.0
What justice can she have,0.0,0.0
It is too much to suppose that her father is still alive,0.15000000000000002,0.30000000000000004
There is no other injustice in her case that you know of ” “ There are difficulties there are certainly difficulties ” said Sherlock Holmes pensively,0.13839285714285715,0.4732142857142857
“ But our expedition of to-night will solve them all,0.0,0.0
Ah here is a four-wheeler and Miss Morstan is inside,0.0,0.0
Are you all ready,0.2,0.5
Then we had better go down for it is a little past the hour ” I picked up my hat and my heaviest stick but I observed that Holmes took his revolver from his drawer and slipped it into his pocket,-0.02326388888888889,0.38472222222222224
It was clear that he thought that our night ’ s work might be a serious one,-0.11666666666666664,0.5249999999999999
Miss Morstan was muffled in a dark cloak and her sensitive face was composed but pale,-0.08666666666666667,0.49333333333333335
She must have been more than woman if she did not feel some uneasiness at the strange enterprise upon which we were embarking yet her self-control was perfect and she readily answered the few additional questions which Sherlock Holmes put to her,0.29,0.45
“ Major Sholto was a very particular friend of papa ’ s ” she said,0.13958333333333334,0.4666666666666667
“ His letters were full of allusions to the major,0.10416666666666667,0.3833333333333333
He and papa were in command of the troops at the Andaman Islands so they were thrown a great deal together,0.8,0.75
By the way a curious paper was found in papa ’ s desk which no one could understand,-0.1,1.0
I don ’ t suppose that it is of the slightest importance but I thought you might care to see it so I brought it with me,0.0,0.0
It is here ” Holmes unfolded the paper carefully and smoothed it out upon his knee,-0.1,1.0
He then very methodically examined it all over with his double lens,0.1,0.15
“ It is paper of native Indian manufacture ” he remarked,0.0,0.0
“ It has at some time been pinned to a board,0.0,0.0
The diagram upon it appears to be a plan of part of a large building with numerous halls corridors and passages,0.10714285714285714,0.4642857142857143
At one point is a small cross done in red ink and above it is ‘ 3.37 from left ’ in faded pencil-writing,-0.05,0.1
In the left-hand corner is a curious hieroglyphic like four crosses in a line with their arms touching,0.2,0.75
Beside it is written in very rough and coarse characters ‘ The sign of the four —Jonathan Small Mahomet Singh Abdullah Khan Dost Akbar ’ No I confess that I do not see how this bears upon the matter,-0.12666666666666668,0.47333333333333333
Yet it is evidently a document of importance,0.25,0.25
It has been kept carefully in a pocket-book for the one side is as clean as the other ” “ It was in his pocket-book that we found it ” “ Preserve it carefully then Miss Morstan for it may prove to be of use to us,0.010416666666666678,0.76875
I begin to suspect that this matter may turn out to be much deeper and more subtle than I at first supposed,0.15416666666666667,0.3833333333333333
I must reconsider my ideas ” He leaned back in the cab and I could see by his drawn brow and his vacant eye that he was thinking intently,0.0,0.0
Miss Morstan and I chatted in an undertone about our present expedition and its possible outcome but our companion maintained his impenetrable reserve until the end of our journey,0.0,0.5
It was a September evening and not yet seven o ’ clock but the day had been a dreary one and a dense drizzly fog lay low upon the great city,0.4,0.525
Mud-coloured clouds drooped sadly over the muddy streets,-0.5,1.0
Down the Strand the lamps were but misty splotches of diffused light which threw a feeble circular glimmer upon the slimy pavement,-0.08518518518518518,0.662962962962963
The yellow glare from the shop-windows streamed out into the steamy vaporous air and threw a murky shifting radiance across the crowded thoroughfare,0.0,0.0
There was to my mind something eerie and ghost-like in the endless procession of faces which flitted across these narrow bars of light —sad faces and glad haggard and merry,-0.08124999999999999,0.7875
Like all human kind they flitted from the gloom into the light and so back into the gloom once more,0.1761904761904762,0.3523809523809524
